'Frame','Jitter'
'0','0.200015'
'1','0.200001'
'2','0.200001'
'3','0.200002'
'4','0.200001'
'5','0.2'
'6','0.200001'
'7','0.2'
'8','0.200002'
'9','0.200001'
'10','0.200001'
'11','0.2'
'12','0.200001'
'13','0.200002'
'14','0.200002'
'15','0.2'
'16','0.200001'
'17','0.2'
'18','0.200001'
'19','0.200002'
'20','0.2'
'21','0.200001'
'22','0.200002'
'23','0.2'
'24','0.200001'
'25','0.200001'
'26','0.2'
'27','0.2'
'28','0.2'
'29','0.2'
'30','0.2'
'31','0.200001'
'32','0.200001'
'33','0.200001'
'34','0.2'
'35','0.2'
'36','0.2'
'37','0.200001'
'38','0.200001'
'39','0.200001'
'40','0.200001'
'41','0.200001'
'42','0.200001'
'43','0.200001'
'44','0.200001'
'45','0.2'
'46','0.2'
'47','0.200001'
'48','0.2'
'49','0.200001'
'50','0.200001'
'51','0.200001'
'52','0.200001'
'53','0.2'
'54','0.2'
'55','0.200001'
'56','0.200001'
'57','0.2'
'58','0.2'
'59','0.200001'
'60','0.2'
'61','0.200001'
'62','0.200001'
'63','0.200001'
'64','0.2'
'65','0.2'
'66','0.200001'
'67','0.2'
'68','0.2'
'69','0.2'
'70','0.2'
'71','0.200001'
'72','0.200001'
'73','0.2'
'74','0.2'
'75','0.200001'
'76','0.200001'
'77','0.2'
'78','0.200001'
'79','0.200001'
'80','0.2'
'81','0.200001'
'82','0.2'
'83','0.2'
'84','0.2'
'85','0.200001'
'86','0.200001'
'87','0.200001'
'88','0.200001'
'89','0.200001'
'90','0.200001'
'91','0.2'
'92','0.200001'
'93','0.200001'
'94','0.2'
'95','0.2'
'96','0.200001'
'97','0.200001'
'98','0.2'
'99','0.200001'
'100','0.200001'
'101','0.2'
'102','0.200001'
'103','0.200001'
'104','0.200001'
'105','0.200001'
'106','0.2'
'107','0.2'
'108','0.2'
'109','0.2'
'110','0.200001'
'111','0.200001'
'112','0.2'
'113','0.200001'
'114','0.2'
'115','0.200001'
'116','0.2'
'117','0.200001'
'118','0.200001'
'119','0.200001'
'120','0.200001'
'121','0.2'
'122','0.2'
'123','0.2'
'124','0.200001'
'125','0.200001'
'126','0.200023'
'127','0.2'
'128','0.2'
'129','0.2'
'130','0.2'
'131','0.200001'
'132','0.200001'
'133','0.200001'
'134','0.200001'
'135','0.200001'
'136','0.2'
'137','0.200001'
'138','0.2'
'139','0.2'
'140','0.2'
'141','0.2'
'142','0.200001'
'143','0.2'
'144','0.200001'
'145','0.200001'
'146','0.200001'
'147','0.2'
'148','0.200001'
'149','0.2'
'150','0.2'
'151','0.200001'
'152','0.909011'
'153','0.2'
'154','0.2'
'155','0.200001'
'156','0.200001'
'157','0.212375'
'158','0.200001'
'159','0.200001'
'160','0.2'
'161','0.200019'
'162','0.200001'
'163','0.2'
'164','0.2'
'165','0.200001'
'166','0.2'
'167','0.200068'
'168','0.200001'
'169','0.200001'
'170','0.2'
'171','0.200001'
'172','0.200007'
'173','0.200001'
'174','0.2'
'175','0.200001'
'176','0.200001'
'177','0.200001'
'178','0.2'
'179','0.2'
'180','0.200001'
'181','0.200001'
'182','0.2'
'183','0.200001'
'184','0.200001'
'185','0.2'
'186','0.200001'
'187','0.2'
'188','0.200001'
'189','0.2'
'190','0.200001'
'191','0.200001'
'192','0.200002'
'193','0.200001'
'194','0.200001'
'195','0.2'
'196','0.2'
'197','0.200001'
'198','0.2'
'199','0.200001'
'200','0.2'
'201','0.2'
'202','0.200001'
'203','0.2'
'204','0.2'
'205','0.2'
'206','0.200001'
'207','0.200001'
'208','0.2'
'209','0.200001'
'210','0.200001'
'211','0.2'
'212','0.200001'
'213','0.200001'
'214','0.2'
'215','0.200001'
'216','0.200001'
'217','0.2'
'218','0.200001'
'219','0.2'
'220','0.2'
'221','0.200001'
'222','0.2'
'223','0.200001'
'224','0.200001'
'225','0.200001'
'226','0.200001'
'227','0.2'
'228','0.200001'
'229','0.2'
'230','0.200001'
'231','0.200001'
'232','0.200001'
'233','0.200001'
'234','0.200001'
'235','0.200001'
'236','0.2'
'237','0.2'
'238','0.2'
'239','0.2'
'240','0.200001'
'241','0.200001'
'242','0.200001'
'243','0.2'
'244','0.2'
'245','0.200001'
'246','0.2'
'247','0.200001'
'248','0.2'
'249','0.2'
'250','0.2'
'251','0.2'
'252','0.200001'
'253','0.200001'
'254','0.200001'
'255','0.2'
'256','0.200001'
'257','0.200031'
'258','0.2'
'259','0.200001'
'260','0.2'
'261','0.200001'
'262','0.2'
'263','0.2'
'264','0.2'
'265','0.2'
'266','0.200001'
'267','0.200001'
'268','0.200001'
'269','0.2'
'270','0.2'
'271','0.2'
'272','0.200001'
'273','0.200001'
'274','0.200001'
'275','0.2'
'276','0.2'
'277','0.2'
'278','0.200001'
'279','0.200001'
'280','0.200001'
'281','0.200001'
'282','0.200001'
'283','0.2'
'284','0.2'
'285','0.200001'
'286','0.200001'
'287','0.200001'
'288','0.2'
'289','0.2'
'290','0.200001'
'291','0.2'
'292','0.200001'
'293','0.200001'
'294','0.2'
'295','0.200001'
'296','0.200001'
'297','0.2'
'298','0.200001'
'299','0.200001'
'300','0.2'
'301','0.2'
'302','0.2'
'303','0.200001'
'304','0.2'
'305','0.200001'
'306','0.2'
'307','0.200001'
'308','0.200001'
'309','0.2'
'310','0.200001'
'311','0.2'
'312','0.200001'
'313','0.200001'
'314','0.2'
'315','0.200001'
'316','0.2'
'317','0.2'
'318','0.200001'
'319','0.2'
'320','0.2'
'321','0.2'
'322','0.2'
'323','0.200001'
'324','0.200001'
'325','0.2'
'326','0.200001'
'327','0.2'
'328','0.200001'
'329','0.2'
'330','0.2'
'331','0.2'
'332','0.2'
'333','0.2'
'334','0.200001'
'335','0.200001'
'336','0.200001'
'337','0.200001'
'338','0.200001'
'339','0.2'
'340','0.200001'
'341','0.2'
'342','0.200001'
'343','0.200001'
'344','0.200001'
'345','0.2'
'346','0.2'
'347','0.2'
'348','0.200001'
'349','0.200001'
'350','0.200001'
'351','0.2'
'352','0.200005'
'353','0.2'
'354','0.200001'
'355','0.200001'
'356','0.200001'
'357','0.2'
'358','0.200001'
'359','0.2'
'360','0.200001'
'361','0.200001'
'362','0.200001'
'363','0.2'
'364','0.200001'
'365','0.200001'
'366','0.200001'
'367','0.200001'
'368','0.2'
'369','0.2'
'370','0.2'
'371','0.200001'
'372','0.2'
'373','0.2'
'374','0.2'
'375','0.200001'
'376','0.200001'
'377','0.200001'
'378','0.200001'
'379','0.2'
'380','0.200001'
'381','0.200001'
'382','0.2'
'383','0.2'
'384','0.200001'
'385','0.2'
'386','0.2'
'387','0.2'
'388','0.2'
'389','0.2'
'390','0.2'
'391','0.200001'
'392','0.2'
'393','0.2'
'394','0.200001'
'395','0.2'
'396','0.200001'
'397','0.200027'
'398','0.200001'
'399','0.200001'
'400','0.200001'
'401','0.200001'
'402','0.200001'
'403','0.200001'
'404','0.200001'
'405','0.2'
'406','0.200001'
'407','0.2'
'408','0.2'
'409','0.2'
'410','0.2'
'411','0.200001'
'412','0.200014'
'413','0.200001'
'414','0.2'
'415','0.2'
'416','0.200001'
'417','0.200001'
'418','0.200001'
'419','0.200001'
'420','0.200001'
'421','0.200001'
'422','0.200001'
'423','0.2'
'424','0.200001'
'425','0.200001'
'426','0.2'
'427','0.200001'
'428','0.200001'
'429','0.200001'
'430','0.2'
'431','0.200001'
'432','0.2'
'433','0.2'
'434','0.200001'
'435','0.200001'
'436','0.200008'
'437','0.200001'
'438','0.2'
'439','0.2'
'440','0.200001'
'441','0.200001'
'442','0.200005'
'443','0.200001'
'444','0.200001'
'445','0.2'
'446','0.200001'
'447','0.200001'
'448','0.200001'
'449','0.2'
'450','0.2'
'451','0.200001'
'452','0.2'
'453','0.200001'
'454','0.200001'
'455','0.2'
'456','0.2'
'457','0.2'
'458','0.2'
'459','0.200001'
'460','0.2'
'461','0.200001'
'462','0.20001'
'463','0.200001'
'464','0.200001'
'465','0.2'
'466','0.200001'
'467','0.2'
'468','0.200001'
'469','0.200001'
'470','0.200001'
'471','0.200001'
'472','0.200001'
'473','0.2'
'474','0.200001'
'475','0.200001'
'476','0.200001'
'477','0.2'
'478','0.2'
'479','0.2'
'480','0.200001'
'481','0.20045'
'482','0.2'
'483','0.200001'
'484','0.2'
'485','0.2'
'486','0.200001'
'487','0.200001'
'488','0.200001'
'489','0.2'
'490','0.2'
'491','0.2'
'492','0.2'
'493','0.2'
'494','0.200001'
'495','0.2'
'496','0.2'
'497','0.200012'
'498','0.2'
'499','0.2'
'500','0.2'
'501','0.200001'
'502','0.200001'
'503','0.200001'
'504','0.2'
'505','0.2'
'506','0.2'
'507','0.2'
'508','0.2'
'509','0.200001'
'510','0.200001'
'511','0.2'
'512','0.200001'
'513','0.200001'
'514','0.200001'
'515','0.200001'
'516','0.2'
'517','0.200001'
'518','0.2'
'519','0.200001'
'520','0.2'
'521','0.200001'
'522','0.2'
'523','0.200001'
'524','0.2'
'525','0.200001'
'526','0.2'
'527','0.200001'
'528','0.200001'
'529','0.200001'
'530','0.200001'
'531','0.2'
'532','0.200001'
'533','0.2'
'534','0.2'
